Ticker,Model,RMSE,MAE,R2,Dir_Acc
AAPL,Linear Regression,0.019814811441460373,0.016199721389698846,-0.17971161704496175,45.98540145985402
AAPL,Ridge Regression,0.019808765404644386,0.016194678863936388,-0.17899180280720217,44.52554744525548
AAPL,Neural Network,0.12342172559375922,0.09779812220538203,-44.769819156477084,47.44525547445255
MSFT,Linear Regression,0.02527573899697819,0.01592476985948871,0.11140912898765953,51.07913669064749
MSFT,Ridge Regression,0.025203993232691724,0.01582597190421924,0.11644654051767933,50.35971223021583
MSFT,Neural Network,0.18063542139143401,0.13488967248007858,-44.38370588957936,47.482014388489205
GOOGL,Linear Regression,0.018985645181970254,0.01486354046157232,-0.03694442157165878,56.934306569343065
GOOGL,Ridge Regression,0.01893282364970927,0.014807691432410562,-0.031182510563898758,57.66423357664233
GOOGL,Neural Network,0.147889845384239,0.11430324674689925,-61.918950368479486,44.52554744525548
AMZN,Linear Regression,0.02556395743963909,0.017759949865740688,0.03412499841325556,52.51798561151079
AMZN,Ridge Regression,0.025545825907061573,0.017703062594172998,0.03549462856715602,53.23741007194245
AMZN,Neural Network,0.18179180415226262,0.14012933196663818,-47.844239687563864,40.28776978417266
TSLA,Linear Regression,0.0386994780062112,0.030566079858347976,-0.09615546874686687,51.09489051094891
TSLA,Ridge Regression,0.03868802326862401,0.030557164488212104,-0.09550665818753323,51.09489051094891
TSLA,Neural Network,0.16151519756069455,0.13257971966501003,-18.093639852880855,51.09489051094891
JPM,Linear Regression,0.019033976739317438,0.015079394733373781,-0.18394366373009507,47.82608695652174
JPM,Ridge Regression,0.01903395636042666,0.015081833509494446,-0.18394112853253475,47.82608695652174
JPM,Neural Network,0.14145676734255186,0.11027426006118526,-64.39121808123599,46.3768115942029
BAC,Linear Regression,0.02427296114842366,0.01958604021560964,-0.6613318017925314,48.175182481751825
BAC,Ridge Regression,0.024110080650943524,0.019442902403263785,-0.6391103150275916,48.175182481751825
BAC,Neural Network,0.18245335018302183,0.14115360412845943,-92.86734658130175,44.52554744525548
GS,Linear Regression,0.02418054876073609,0.019551857410102805,-0.09076555594728575,50.35971223021583
GS,Ridge Regression,0.02388764602955643,0.019242882783162864,-0.0645003782232263,51.798561151079134
GS,Neural Network,0.14450469376984082,0.11543506104085975,-37.95498290110948,44.60431654676259
JNJ,Linear Regression,0.012832777480056214,0.009980966681055721,-0.07652376037633468,57.66423357664233
JNJ,Ridge Regression,0.012740947011602192,0.00993273258110079,-0.061171827093895015,55.47445255474452
JNJ,Neural Network,0.08674647451752208,0.0684258576200095,-48.191034900904405,46.715328467153284
PFE,Linear Regression,0.027151708466113783,0.01657801930351734,0.005012605599238107,46.76258992805755
PFE,Ridge Regression,0.027053435803399476,0.01648389094093775,0.012202069096669765,46.76258992805755
PFE,Neural Network,0.26765949840783543,0.17568036105500812,-95.69156162883132,56.11510791366906
XOM,Linear Regression,0.03097474605557192,0.018915898460739648,0.052429200892592176,53.284671532846716
XOM,Ridge Regression,0.03094299468388237,0.01887616178620954,0.05437086343760922,52.55474452554745
XOM,Neural Network,0.20818813011211157,0.14279589884139668,-41.80633921754704,43.79562043795621
CVX,Linear Regression,0.03022966694825564,0.017710537417055836,0.056102650280115185,41.007194244604314
CVX,Ridge Regression,0.030168935676246816,0.0176549501473577,0.05989141215231131,40.28776978417266
CVX,Neural Network,0.22384867395733998,0.16220911644370548,-50.75676148589054,46.76258992805755
